"","Year","GDP","Total_immigrants","Asylum","Total_Exp","Total_Exp/GDP","Hbeds"
"1",1976,"207.26566281482","149400","27387","14,049.8","7.0",6.90000009536743
"2",1977,"212.32517630465","114900","29537","15,450.0","7.0",6.90000009536743
"3",1978,"219.37739459498","86300","31295","17,106.8","7.0",6.90000009536743
"4",1979,"243.88602425183","112100","57913","19,169.7","6.8",6.80000019073486
"5",1980,"274.77025217176","143100","92679","22,298.4","7.1",6.80000019073486
"6",1981,"307.24584297017","128600","96415","26,276.7","7.1",6.90000009536743
"7",1982,"314.63890364876","121200","107591","30,759.1","7.9",6.80000019073486
"8",1983,"341.86299630307","89200","120947","34,038.6","8.1",6.80000019073486
"9",1984,"356.72787242241","88300","112966","36,743.1","8.0",6.80000019073486
"10",1985,"366.18403023779","84300","92194","39,842.4","8.0",6.80000019073486
"11",1986,"379.01473119983","99400","98743","43,343.9","8.2",6.69999980926514
"12",1987,"433.13992803593","152100","104843","46,795.7","8.1",6.59999990463257
"13",1988,"509.37967719607","161600","116434","50,963.0","8.1",6.5
"14",1989,"567.22536703446","191600","135752","56,100.7","8.4",6.30000019073486
"15",1990,"596.08906484025","216500","154761","61,100.0","8.8",6
"16",1991,"612.51389551261","232800","170916","66,446.1","9.5",5.8000001907
"17",1992,"594.37608744939","254800","183723","69,863.8","9.7",5.5
"18",1993,"579.05900103092","256600","183241","71,533.1","9.6",5.4000000954
"19",1994,"579.94434680726","224400","186555","73,180.6","9.2",5.2000034
"20",1995,"605.94103699213","212900","152110","74,254.9","8.9",5
"21",1996,"630.59798788928","226100","138427","75,115.3","8.7",4.5999999046
"22",1997,"654.9879325566","216000","125176","78,781.3","8.7",4.4000000954
"23",1998,"633.99773424694","174200","119355","84,108.1","8.9",4.1999998093
"24",1999,"678.40999571189","190000","123303","90,528.0","9.0",3.9000000954
"25",2000,"744.77341593159","227500","126991","98,715.9","8.9",3.77
"26",2001,"738.96272904453","250600","129227","107,330.8","9.4",3.69
"27",2002,"760.64933409801","229000","129935","115,168.2","9.6",3.64
"28",2003,"895.54064663479","221300","133088","123,721.4","9.9",3.5
"29",2004,"1026.6902382783","235800","141402","131,686.6","9.9",3.44
"30",2005,"1173.1085987787","262200","147164","140,585.2","9.9",3.1
"31",2006,"1319.264809591","251600","151832","151,095.3","10.1",3.02
"32",2007,"1468.8204077833","236800","175728","163,055.4","10.3",2.96
"33",2008,"1552.9896907216","247200","173642","172,001.4","10.4",2.85
"34",2009,"1374.6251421573","252200","169424","182,069.4","11.6",2.8
"35",2010,"1617.3433674863","280700","165544","193,016.3","11.6",2.78
"36",2011,"1793.3266301745","248700","164879","199,484.5","11.2",2.8
"37",2012,"1828.3664815216","257900","163751","208,086.3","11.4",2.79
"38",2013,"1846.597421835","259000","160347","213,035.8","11.2",2.72
"39",2014,"1805.7498784399","260400","149164","219,259.8","11.0",2.67
"40",2015,"1556.5088162171","271840","135890","228,817.0","11.5",2.62
"41",2016,"1527.9947419074","296375","97322","238,092.8","11.8",2.6
"42",2017,"1649.2656442441","286535","104768","248,082.1","11.6",2.53
"43",2018,"1725.2979384358","321055","114101","258,144.6","11.5",2.55
"44",2019,"1743.7251836725","341175","101757","270,041.0","11.7",2.52
"45",2020,"1647.5984023027","184595","109214","305,659.1","13.8",2.55
"46",2021,"2001.4867454239","406050","130125","329,388.3","13.1",2.58
"47",2022,"2139.8400236738","437625","140621","334,404.1","12.0",2.56
